tab_switches,typing_speed,idle_time,mouse_movements,copy_paste_count,suspicious
0,48,43,30,0,1
5,38,74,153,9,1
2,40,15,97,1,1
6,23,39,128,5,0
1,36,38,98,3,1
5,31,49,30,1,0
0,35,31,127,3,0
2,27,17,87,0,0
8,27,36,137,6,0
3,26,72,123,7,1
1,37,35,112,3,1
5,35,28,60,0,0
4,54,30,69,1,0
5,36,42,144,6,1
5,46,39,130,5,1
4,48,25,64,0,0
5,35,33,59,1,0
4,25,33,47,0,0
0,46,16,87,0,1
3,50,47,37,1,0
5,45,40,110,4,1
3,21,56,117,6,1
6,42,41,122,5,1
8,41,45,134,6,1
7,57,43,135,6,1
0,48,26,48,0,1
5,61,28,59,0,0
4,38,24,35,0,0
8,27,44,127,6,1
1,29,1,102,0,0
7,31,47,33,1,0
4,38,53,53,2,0
3,52,19,70,0,0
2,37,34,114,3,0
3,54,57,89,4,0
6,57,41,167,7,1
3,38,31,83,2,0
7,41,41,146,6,1
8,47,36,20,0,0
9,36,35,117,5,0
5,31,36,104,3,1
5,46,66,125,7,1
0,29,0,131,0,0
4,35,28,160,5,1
6,51,32,40,0,0
3,44,15,79,0,0
4,30,63,52,3,0
2,33,34,77,1,1
0,30,0,129,0,0
2,42,62,81,4,1
2,60,6,89,0,0
5,38,29,162,6,1
2,39,34,105,3,0
3,40,41,113,4,1
4,44,28,72,1,0
0,32,39,55,0,1
8,39,47,20,0,0
4,41,84,138,9,0
3,35,43,124,5,1
1,49,40,71,1,1
2,31,29,77,1,1
2,32,35,109,3,0
5,48,41,193,8,1
0,13,0,127,0,0
3,25,16,76,0,0
7,7,60,5,0,0
4,47,15,59,0,0
3,43,41,119,4,1
4,38,37,82,2,1
1,45,9,117,1,0
2,29,13,81,0,0
5,40,38,43,0,0
3,32,38,125,4,1
4,40,42,158,7,1
2,40,45,110,4,1
7,36,48,151,7,1
2,50,36,94,2,1
1,53,0,93,0,0
2,51,74,74,5,0
7,35,26,16,0,0
2,33,64,116,6,0
3,44,47,91,3,0
3,24,44,123,5,0
0,35,61,116,5,0
6,36,50,145,7,1
0,46,0,122,0,0
2,46,16,66,0,0
0,23,50,15,0,1
7,48,40,145,6,1
2,30,29,110,3,1
4,47,57,36,2,0
7,46,39,128,5,1
7,39,42,110,4,0
3,16,20,76,0,0
2,25,21,100,1,1
0,31,0,116,0,1
0,45,0,109,0,0
5,41,48,70,3,0
1,44,57,77,3,1
3,61,16,65,0,0
3,42,38,127,5,1
0,46,0,98,0,0
0,61,0,140,0,0
0,33,0,108,0,0
8,50,40,98,4,1
1,43,57,92,4,1
5,26,49,158,7,1
4,27,41,147,6,1
8,46,33,203,9,1
7,40,39,141,6,1
4,19,13,62,0,0
11,50,45,162,8,1
0,56,48,44,1,1
5,29,38,114,4,1
4,53,35,74,2,0
4,31,31,90,2,0
6,47,36,115,4,1
0,50,65,141,7,1
4,37,19,60,0,0
5,39,29,137,5,1
5,45,27,86,2,0
5,42,42,98,4,1
3,46,39,131,5,1
0,37,26,124,3,1
4,40,64,71,4,0
6,59,36,133,5,1
3,32,22,66,0,0
5,30,3,68,0,0
7,21,41,127,5,1
2,20,28,100,2,1
3,32,9,89,0,0
7,38,46,115,5,1
3,25,11,67,0,0
7,39,36,123,5,1
8,43,43,138,6,1
6,37,32,103,3,1
7,68,44,143,6,1
1,46,2,96,0,0
5,38,43,126,5,0
7,40,41,128,5,1
3,33,35,126,4,1
0,43,0,129,0,1
6,41,92,5,2,0
6,60,29,191,7,1
4,40,62,73,4,0
1,45,7,102,0,0
2,41,30,96,2,1
6,27,36,123,5,1
2,36,75,61,4,0
5,33,55,189,10,1
2,35,37,59,1,0
1,49,36,90,2,1
5,31,33,57,1,0
0,46,29,61,0,1
4,41,23,67,0,0
6,40,39,55,1,0
3,48,27,89,1,1
5,36,37,60,1,0
5,23,53,143,7,1
0,37,0,128,0,0
6,42,44,129,6,1
5,25,30,51,0,0
2,67,48,104,4,0
2,39,28,85,1,1
3,31,15,72,0,1
5,37,41,27,0,0
7,46,29,36,0,0
5,46,39,56,1,0
0,43,14,39,0,1
6,52,40,100,4,1
2,32,16,112,2,0
0,33,0,130,0,0
1,61,56,97,4,0
6,33,37,42,0,0
8,55,43,137,6,1
5,48,41,61,2,0
9,48,42,142,6,1
6,23,43,128,5,1
3,32,60,95,5,1
4,47,49,124,5,1
2,34,32,86,2,1
5,29,37,115,4,1
5,36,57,154,8,1
4,33,33,157,6,1
7,23,39,125,5,1
4,35,24,159,5,1
2,34,22,117,2,1
1,49,33,88,2,1
0,23,42,41,0,1
2,34,12,92,0,1
5,29,57,65,3,0
1,53,3,101,0,0
3,39,19,90,1,0
0,31,0,112,0,0
0,61,44,34,0,0
6,29,45,127,6,1
4,41,28,56,0,0
2,41,27,86,1,1
2,38,14,95,1,0
5,34,38,140,5,0
4,29,28,73,1,0
9,41,46,150,7,1
3,60,16,79,0,0
3,46,38,112,4,1
6,33,38,170,7,1
4,29,67,65,4,0
5,29,40,169,7,0
8,22,43,133,6,1
4,53,63,95,5,1
3,39,16,74,0,0
0,46,0,110,0,0
1,40,56,87,4,0
7,38,43,106,4,1
1,42,30,113,3,1
8,33,66,36,3,0
2,35,44,83,3,1
6,16,40,123,5,1
0,51,52,120,5,0
4,52,39,61,1,0
5,47,56,21,1,0
9,52,31,10,0,0
4,36,35,129,4,1
9,70,48,139,7,1
2,40,54,36,1,0
1,28,21,90,1,1
1,31,19,86,0,1
2,35,28,80,1,1
4,32,20,60,0,0
8,40,48,142,7,1
4,35,28,69,1,0
5,46,34,111,4,1
10,27,43,144,7,1
2,36,72,86,5,0
7,41,35,114,4,1
5,20,43,114,4,1
4,52,28,37,0,0
4,44,29,72,1,0
7,45,38,132,5,0
9,54,41,117,5,1
2,34,35,93,2,1
2,26,11,90,0,0
5,52,40,75,2,0
3,53,36,83,2,1
3,27,32,113,3,1
6,46,46,136,6,1
6,31,42,121,5,1
2,20,0,82,0,0
6,49,57,175,9,1
0,45,0,122,0,0
1,38,19,61,0,1
1,31,37,86,2,1
1,34,54,77,3,1
6,36,43,47,1,0
5,39,40,113,4,1
2,45,31,108,3,0
9,72,47,124,6,1
0,29,0,135,0,0
3,41,25,123,3,0
1,36,20,118,2,0
8,27,54,27,1,0
4,31,37,173,7,1
7,35,49,216,10,1
2,33,15,106,1,0
8,36,40,135,6,1
4,37,36,86,2,1
0,36,0,102,0,0
1,19,41,102,3,1
3,38,42,88,3,1
2,36,12,95,0,0
2,48,9,84,0,0
3,55,46,106,4,1
9,29,41,144,7,1
7,33,45,140,6,1
4,53,28,72,1,0
3,43,18,94,1,0
0,54,0,110,0,0
3,27,21,92,1,0
2,40,7,92,0,0
5,48,38,95,3,1
9,25,47,165,8,1
3,35,61,127,7,1
2,52,69,103,6,0
6,39,47,133,6,1
9,44,46,158,8,1
4,41,14,58,0,1
7,47,46,38,1,0
0,25,25,33,0,1
4,23,38,112,4,1
11,34,50,170,9,1
2,48,9,81,0,0
7,39,39,78,2,1
1,47,1,97,0,0
1,41,38,101,3,0
3,37,21,113,2,1
3,40,34,103,3,1
3,16,36,95,3,1
3,34,55,79,3,1
5,41,30,165,6,1
7,20,37,101,4,1
4,47,46,119,5,1
3,43,22,92,1,0
5,40,37,105,4,1
3,20,30,135,4,1
2,51,6,90,0,0
7,33,37,129,5,1
1,49,64,117,6,0
4,27,38,107,4,1
0,24,0,118,0,0
4,33,30,60,0,0
5,49,31,63,1,0
4,65,7,78,0,0
2,55,41,91,3,0
1,31,59,130,6,0
2,36,10,97,0,0
4,53,31,52,0,0
3,33,29,125,4,1
5,42,35,59,1,0
9,35,46,146,7,1
6,54,41,55,1,0
4,40,65,120,7,1
7,33,45,37,1,0
7,44,57,45,2,0
4,43,38,55,1,0
0,37,0,124,0,1
6,46,50,31,1,0
3,46,19,84,1,0
3,37,37,127,4,1
0,30,62,165,8,0
5,27,37,29,0,1
5,32,38,106,4,1
2,22,7,92,0,0
6,34,19,216,8,1
1,25,51,123,5,0
3,63,49,123,5,1
2,49,44,91,3,1
2,27,14,91,0,0
3,34,53,67,3,0
0,38,2,119,0,1
6,41,39,49,1,0
4,54,46,131,5,0
8,50,47,158,8,1
3,37,43,101,4,0
5,63,45,89,3,0
1,41,29,61,0,1
5,24,31,189,7,1
6,59,41,49,1,0
1,38,25,119,3,0
0,27,29,110,2,0
7,55,31,9,0,0
5,40,30,62,1,0
8,22,43,123,5,1
1,43,30,93,2,1
0,37,36,43,0,1
5,26,30,30,0,0
4,51,50,123,6,1
1,45,57,129,6,0
4,26,39,109,4,1
2,40,38,121,4,0
1,40,0,100,0,0
4,31,16,65,0,0
7,27,43,36,1,0
2,22,12,88,0,1
3,44,47,134,6,1
4,44,39,144,6,1
5,38,28,60,0,0
4,40,14,47,0,0
4,44,25,147,4,1
4,43,38,120,4,1
3,35,40,126,5,1
1,39,44,135,5,0
3,35,15,110,2,0
1,49,29,120,3,1
8,55,52,26,1,0
8,15,46,126,6,1
2,42,37,71,1,1
3,28,36,121,4,1
3,56,17,98,1,0
2,30,9,89,0,0
0,38,68,108,6,0
2,41,32,109,3,0
5,39,44,100,4,1
2,43,31,70,1,1
6,52,44,43,1,0
3,36,42,150,6,1
3,46,57,28,1,0
2,11,18,80,0,1
1,30,0,97,0,0
0,40,7,114,1,0
3,53,35,98,3,1
6,36,34,108,4,1
4,49,53,129,6,1
7,43,43,124,5,1
5,29,57,132,7,1
8,26,49,148,7,1
6,35,39,138,6,1
0,19,0,143,0,0
1,50,5,93,0,0
4,50,17,143,3,1
5,31,32,81,2,0
8,20,46,134,6,1
7,27,41,118,5,1
1,37,10,99,0,0
0,43,63,153,7,0
1,52,0,110,0,1
8,41,64,190,10,1
0,31,24,48,0,1
5,39,34,140,5,1
6,37,44,106,4,1
3,26,14,67,0,0
7,29,43,27,0,0
3,18,38,107,3,1
4,40,19,62,0,0
6,25,36,142,5,1
6,24,45,126,5,1
3,36,39,119,4,1
6,23,45,123,5,1
7,46,41,118,5,1
0,48,0,119,0,1
9,31,33,5,0,0
6,32,43,121,5,1
4,30,25,53,0,0
4,42,71,25,2,0
8,35,38,123,5,1
8,45,45,145,7,0
1,46,0,102,0,0
7,38,40,135,6,1
2,22,46,97,3,1
3,33,50,64,2,1
5,58,34,110,3,1
8,27,39,119,5,0
7,57,37,116,4,0
3,62,34,70,1,0
5,36,45,38,1,0
0,34,0,108,0,1
9,50,48,8,0,0
2,38,21,97,1,0
4,35,43,79,2,0
6,39,41,51,1,0
3,32,41,150,6,1
5,36,21,32,0,0
4,46,37,113,4,1
5,59,44,111,5,1
6,58,41,121,5,1
3,34,21,81,1,0
3,43,30,157,5,1
2,33,33,114,3,1
7,42,55,54,3,0
7,46,42,128,5,1
7,36,38,128,5,1
7,51,41,106,4,1
0,42,0,135,0,0
5,58,13,40,0,0
5,41,7,76,0,0
4,39,16,73,0,1
3,39,19,82,0,0
3,36,15,75,0,0
7,51,51,47,2,0
3,42,16,74,0,0
7,39,43,106,4,1
3,43,37,126,4,1
2,30,28,82,1,1
6,60,39,52,1,0
6,41,69,29,3,0
6,36,39,5,0,0
1,46,59,100,5,0
3,40,50,130,6,1
6,31,45,185,9,1
7,19,41,146,6,1
3,42,45,131,5,1
1,52,39,74,2,0
2,51,6,94,0,0
2,35,37,120,4,1
2,34,48,85,3,0
4,36,24,63,0,0
4,36,43,132,5,1
6,53,41,152,6,1
7,40,41,132,5,1
0,33,0,108,0,0
8,38,55,26,1,0
0,37,1,118,0,0
2,40,52,75,3,1
4,32,43,153,6,1
3,36,62,48,3,0
4,51,38,111,4,1
3,48,54,131,6,1
4,46,48,65,2,0
5,53,46,133,6,1
3,29,14,80,0,0
5,33,40,58,1,0
5,33,34,33,0,0
6,42,44,124,5,0
3,41,30,106,3,0
3,42,15,77,0,0
2,39,7,90,0,0
6,51,32,44,0,0
2,30,32,85,2,1
0,32,20,56,0,1
7,25,36,138,5,1
4,58,40,107,4,1
5,45,27,36,0,0
5,46,30,48,0,0
2,41,57,115,5,0
0,39,21,33,0,1
6,31,38,27,0,0
5,31,2,53,0,0
6,41,44,134,6,1
7,30,43,129,6,1
6,15,20,198,7,1
7,41,39,116,5,1
5,29,42,102,4,1
3,60,34,76,1,0
7,52,54,39,2,0
2,8,6,97,0,0
4,34,46,127,5,1
6,42,53,169,8,1
3,45,38,120,4,1
2,43,40,95,3,0
4,56,45,55,2,1
4,23,50,71,3,0
0,40,37,70,1,1
4,21,40,128,5,1
6,33,33,47,0,0
7,29,43,141,6,1
6,27,48,10,0,0
5,49,29,37,0,0
6,36,38,42,0,0
4,19,51,140,6,1
3,38,45,96,3,0
0,46,0,116,0,0
7,37,40,101,4,1
3,43,36,109,3,1
